iter	RMSE
0	842697.0376
1	786146.5279
2	738476.038
3	692819.5609
4	653380.3022
5	617221.4484
6	583823.3905
7	554528.6185
8	527012.5734
9	502618.5606
10	481042.3861
11	462475.2435
12	443897.4015
13	427178.6123
14	423191.8009
15	407934.024
16	403605.1351
17	400060.9433
18	396682.7721
19	383170.802
20	370768.533
21	367802.1469
22	364883.0783
23	354062.525
24	351399.3908
25	348852.6551
26	346293.2826
27	344012.4319
28	341813.6344
29	331505.7323
30	321638.8245
31	319660.3704
32	317726.2958
33	315728.0144
34	313858.7124
35	312191.2428
36	304745.8373
37	297722.4881
38	296136.0112
39	294747.3222
40	287596.8918
41	286266.7012
42	280473.2901
43	278417.9909
44	273726.9762
45	268600.6261
46	265643.5964
47	264564.7332
48	261283.4426
49	259912.8473
50	258598.1486
51	257347.34
52	256467.967
53	255384.7234
54	250628.5207
55	249923.0698
56	245511.2142
57	244592.5173
58	240946.3767
59	240303.2924
60	239450.8105
61	237858.0094
62	237271.833
63	234409.091
64	231704.6262
65	230763.9759
66	228366.4232
67	227825.3656
68	225229.1978
69	223749.9618
70	222211.1866
71	220678.2084
72	219786.3218
73	219448.3609
74	219042.1534
75	216191.7003
76	215526.2833
77	215035.0696
78	214437.0673
79	212139.1501
80	211190.3091
81	208861.7036
82	208331.5487
83	207493.9004
84	206358.7661
85	204602.1235
86	204309.1226
87	203829.4086
88	202665.382
89	202496.9882
90	202339.5599
91	201195.2288
92	200832.2822
93	199118.1621
94	198991.7149
95	198678.0701
96	197386.7568
97	197072.9063
98	196957.4532
99	196674.5574
