iter	Passed	Remaining
0	5	521
1	10	519
2	15	500
3	20	499
4	25	493
5	31	495
6	37	494
7	43	495
8	49	496
9	55	496
10	60	491
11	66	484
12	71	475
13	75	466
14	77	438
15	82	431
16	83	407
17	85	388
18	87	374
19	93	372
20	98	370
21	99	353
22	105	353
23	111	352
24	113	339
25	115	328
26	116	314
27	117	301
28	118	290
29	124	290
30	130	289
31	131	278
32	136	277
33	138	269
34	143	267
35	147	261
36	152	260
37	158	258
38	163	255
39	164	247
40	169	244
41	170	236
42	176	234
43	182	231
44	187	228
45	192	225
46	197	222
47	198	215
48	204	212
49	210	210
50	212	204
51	214	197
52	216	191
53	221	188
54	226	185
55	227	178
56	232	175
57	237	171
58	242	168
59	243	162
60	248	158
61	253	155
62	258	151
63	263	148
64	268	144
65	274	141
66	280	137
67	285	134
68	290	130
69	295	126
70	301	123
71	307	119
72	312	115
73	314	110
74	319	106
75	325	102
76	330	98
77	332	93
78	337	89
79	342	85
80	347	81
81	352	77
82	357	73
83	362	69
84	367	64
85	372	60
86	374	55
87	379	51
88	384	47
89	385	42
90	385	38
91	390	33
92	395	29
93	401	25
94	403	21
95	409	17
96	414	12
97	419	8
98	424	4
99	429	0
